FINAL    Mensagem
1	vim aqui, pois tenho uma ótima notícia para vocês: teclado do notebook está arrumado. obrigado aos serviços da dell, empresa show
-1	me dá vontade de chorar quando eu percebo que o note. novinho que eu comprei da fulano esta com problemas desde a 2ª sem. e eles n fazem nada
-1	reclame aqui - dell computadores do brasil - tablet dell venue 7 3741-a10 - não comprem de jeito
-1	seus notebook é uma bosta fulano
-1	dois anos de notebook estragado e agora nem o reembolso e feito.espero que a dell se retrate e faça a coisa certa.vou ficar aguardando
-1	fulano, o problema é que o meu notebook que estragou era justamente da dell. não tive uma experiência boa com ela
-1	e esse meu notebook novo,i7 quinta geracao,ssd e a porra da webcam nao funciona (y) que beleza hein dell
1	venho por meio desse tweet que o notebook da fulano é o melhor
1	boa noite,pessoal! meu notebook chegou, fiquei até surpreso com a rapidez que montaram e mandaram. parabéns, dell
1	chegou!!! #alegriadecriança #dell #latitude3450 #pc #notebook #ggwp #happy
-1	queria poder devolver essa bomba de notebook dell e pegar um acer. me arrependo amargamente
1	comprei um notebook dell faz mais ou menos um mês,e tô me perguntando porque não comprei essa maravilha antes
-1	meu notebook da dell,chegou a uma semana aqui em casa.  notebook novo,vindo da loja e já ta dando defeito... oh marca bosta essa dell
1	nesse exato momento o que eu quero é meu notebook da dell de novo,msm sendo velhinho é melhor que o meu da lenovo
-1	meu notebook atual veio com antivirus mcafee. meu deus como é ruim! por que a dell trocou a norton por eles?
-1	quem disse pra dell que isso que eles fazem é um notebook ? parece mais uma sanduicheira, vive travando essa porra
-1	to a 1 hora com a dell no telefone espero que resolva o problema do meu notebook ngm merece comprar e uma semana dps estragar
1	que lindo note
-1	problemas com eletrônicos só aparecem depois que acaba a garantia,incrível! #dell #notebook
-1	atendimento porco! não recomendo a dell pra ninguém mais! decepcionado! precisando urgente do meu note,comprometendo meu trabalho...putz
1	design é pouco pro xps 13. que notebook lindo
-1	fulano esse foi o meu primeiro notebook dell. não foi uma experiência muito boa. tenho um outro acer que nunca deu problema
-1	comprei meu notebook da dell fez 1 ano e já tá um lixo eu quero meus direitos
1	fulano fulano bom ponto, mas já tive problema com notebook então quero uma marca confiável, e das atuais só gosto da dell
-1	nossa como odeio esse notebook saudades o meu da dell não sei o que meu pai arrumou com ele
1	meu filho nao morreu, senhor amado foram 900 conto economizados nesse mes de julho, obrigada dell por nao fazer um notebook tao porcaria
1	consegui trocar meu notebook ao invés de mandar pra assistência,peguei um da dell melhor que o meu e pelo mesmo valor. sorte grandeeee
1	patrão vai me dar um notebook da dell i7 com 8 gb ram pra trabalhar
-1	reclame aqui - dell computadores do brasil - dell inspiron 14 sem solução de problemas
-1	por isso não gosto desse notebook dell, vive pedindo atualização e demora um ano pra ligar depois
-1	a fulano se recusou a prestar suporte do meu notebook pois atualizei meu windows para o 10 com a chave fornecida por eles mesmos! que escroto!
1	fulano eu ainda vou ter um notebook de vocês,pode acreditar
-1	como a assistencia tecnica sumiu com meu notebook ,preciso de um novo,alguem indica uma marca boa sem ser dell ou apple (caro demais p mim)
-1	adeus notebook dell escroto cheio de vírus descanse em paz
-1	alegria com o windows 10 no note. vejo que nao consigo mais ajustar o brilho da tela. descubro que a dell não atualizou todos drivers. fodeu
1	meu notebook novo até que é amorzinho,mas como desapegar do antigo? #quemtemnãotroca #dell
-1	atualizar o notebook e ele travar de vez. só comigo ? #dell #windows8 #help
1	esse notebook da dell é quase tão fino quanto o meu chromebook :o
-1	você acha que a dell tem notebook s com uma qualidade superior, você está enganado. #dell #delllixo #nãocompredell
1	rapaz notebook da sony nao dá,pega um da dell que seus problemas acabam
1	meu notebook tá todo fodido. tenho é que começar a trabalhar logo pra comprar outro e um outro celular também. quero outro dell
1	a dell cobre o notebook molhado e a samsung não gente que mundo é esse eu tenho que ler as coisa antes de comprar (((e de molhar
1	até que fim um notebook bom da dell nessa nova safra
-1	meu notebook da dell, chegou a uma semana aqui em casa. notebook novo,vindo da loja e já ta dando defeito... o marca bosta essa dell
-1	não!!! dell,eu não quero comprar notebook . comprei um novinho em folha no fim do ano passado
-1	dell,pior touchpad,pior conexão pra fone,pior processador ever. que raiva desse note
-1	e a porra do notebook da #dell estragou de novo! #delllixo #notedell #lixo
-1	notebook dell, por que tão complicado?
-1	uma das piores compras que eu fiz, foi ter comprado um notebook da dell. não caio mais nessa, nem com pão doce
-1	recebo tanto e-mail da dell que qdo for comprar outro note,escolherei qualquer outra marca! #cansei #peguei_nojo
-1	fulano, por nada! eu tenho um notebook dell e já passei muita dor de cabeça com ele
-1	sonho: notebook da dell realidade: pc quebrado
-1	que saudades do meu notebook da hp, esse dell é uma bosta, que sacoooooo
-1	olho um notebook na dell, em uma semana tava 2700, na outra 2900, hoje ta só 3400 reais
-1	para você que pensa em comprar um notebook #inspiron 14 3000 series da #dell... não compre
-1	fulano deixo aqui a minha insatisfação com a dell e com o técnico que fez atendimento na garantia de meu notebook
-1	pense duas vezes antes de comprar um notebook de quase r$2mil da dell. se não tiver configuração muito boa, você vai chorar
1	selok meo notebook é mol rapido kk dell é zikaa
